question,answer
مریم آپ ان بلز کی کاپی کروا لینا یاد سے,ہاں
اور آپ نے میٹنگ کے بعد مجھ سے وہ ریویو کروانی ہے,ہاں
چلیں ٹھیک ہے دیٹ از آل آپ لوگوں نے اب نیکسٹ ویک میں آپ لوگوں کی سکیجوئل کروا دیتی ہوں سٹیک ہولڈر میٹنگ اور اس کے علاوہ {حرا} آپ نے مجھے جو ہے وہ میٹنگ منٹس بھی دینے ہیں اور ایک بالکل سٹارٹ میں وائے فریمز دینے ہے ٹھیک ہے,ہاں
ٓپ اس بات کو ویریفائے کریں گے کہ تمام ٹیسٹ کیسز ڈن ہو گئے ہیں اور اس پر ڈسکشن کریں میرے ساتھ ,ہاں
اس کے ساتھ ارم آپ ٹیم ممبرز کو موٹیویٹ کریں گیں مائلسٹونز اور ڈیڈ لائنز کو میٹ کرنے کے لئے   ,ہاں
ایف ار سی ان ان اور یو لو این کی ری ٹرینگ کل تک کومپلیٹ کر لینے ہے آپ نے,ہاں
میں کہہ رہی ہوں عید سے پہلے پہلے روزانہ ایک میٹنگ کرنی ہے {کاشف} اگر مجھے آپ کی طرف سے ایک میٹنگ نہ ملی ناں ایک دن میں تو میں نے میم کو کہہ دینا ہے کہ آپ کی اماں کو کال کر دیں سیدھی,ہاں
اس کو بھی آپ یوز کر کے ناں ڈیٹا کو اینوٹیٹ کر لیں,ہاں
    اس کے ساتھ ساتھ حلیمہ اپ نے ویب سائٹ کا ریگولرپرفارمینس آ ڈیٹ تیار کرنا ہے,ہاں
م باقی جو لسٹ ہے ان کی کینڈیڈیٹس کی وہ سافٹ فارم میں ناں آپ مجھے واٹس اپ پہ بے شک سینڈ کر دیں پی ڈی ایف فارم میں اور ایک میل پہ بھیج دیں ٹھیک ہے,ہاں
اور م کہ آپ نے ٹاپکس اور اس کے سب ٹاپکس فائنل کرنے ہیں اور مجھے چیک کروا دیں میٹنگ کے بعد تک بہتر ہو گا اگر نہیں بھی ہوئے گا تو پھر ہم م کل سے دوبارہ اس کو سٹارٹ کریں گے ٹھیک ہے,ہاں
ایک دو ٹیمپلیٹس میں نے دیکھے ہیں وہ لیٹکس پہ ہی ہیں تو میں آپ کو وہ بھیج دوں گی آپ بھی دیکھ لیجیے گا ایسے میں ڈھونڈ رہی تھی مجھے :م: اپنے ٹاپک پہ کوئی نہیں ملا ریسرچ پیپر کہ مجھے تھوڑا سا آئیڈیا ہو جاتا,ہاں
آپ لوگ پھر اس چیز کو بھی مائنڈ میں رکھیں اور ریپیٹیشن کو ریموو کریں,ہاں
سینسیٹیو ڈیٹا کو ہینڈل کرتے وقت ایتھکل گائیڈلائنز اور پرائویسی ریگولیشنز پر پرسوں سے ہی عمل کرنا سٹارٹ کریں۔,ہاں
اس کے علاوہ میں آپ لوگوں سے اک ڈاکومنٹ بھی شئیر کر دوں گا,ہاں
سارے پروسسز کو ساتھ ساتھ ڈاکومنٹ کرنا ہے آپ دونوں نے,ہاں
سی آر آپ نے سارے بچوں سے سائینڈ ایپلیکشن لے کر مجھے جمع کروانی ہیں,ہاں
عامر آپ نے ڈویلپمنٹ ٹیم کے ساتھ کلیبوریٹ کر کے اس پہ ورکنگ کرنی ہے,ہاں
ایک کمپریحینسو ریکویئیرمنٹس کی ڈاکومنٹ اگلی میٹنک تک بنائیں جس میں تمام کولیکٹ کی گئی انفارمیشن کی ڈیٹیلز ہو۔,ہاں
اویس آپ ایکشن آئٹمز کے بارے میں کچھ مزید آرٹیکلز پڑھیے گا میں شیئر کر دوں گی آپ کے ساتھ,ہاں
تو اب آپ نے یہ کرنا ہے کہ اب آپ ان کو کال کریں,ہاں
ان کی اب نا آپ نے ویریفیکیشن کرنی ہے,ہاں
حنا آپ نے ٹیچر سائڈ کی یوزر سٹوریز بنا کر لانی ہیں اور آپ نے بھی منڈے تک یہ کام کمپلیٹ کرنا ہے,ہاں
حمد آپ سارا اینوٹیشن پروسس ڈاکومنٹ کر رہی ہیں ساتھ ساتھ,ہاں
بریرہ آپ نے اوورلیف کی فائل شئیر کرنی ہے,ہاں
عمر آپ کا کام یہ ہے کہ آپ نے اپنی ویب سائیڈ کی سلینم پہ ٹیسٹنگ کرنی ہے,ہاں
اوکے ٹھیک ہے آپ سر سے بات کر کے مجھے انفارم کرو,ہاں
کریے گا کہ آپ بنا کے شیئر کر دیں تاکہ وہ ایک ٹیمپلیٹ ہمارے پاس آ جائے,ہاں
ریکویئیرمنٹس کو ریفائین کرنے کے لیے اسٹیک ہولڈرز سے فیڈبیک ہفتے کے اینڈ تک گیدر کریں۔,ہاں
لیکن میرے آنے تک آپ نے یہ ٹیسٹنگ کا کام کمپلیٹ کرنا ہے,ہاں
ہاں جی بالکل اس طرح تو یہ آپ ایک ڈاکومنٹ بنا لیں,ہاں
تو اس کے مطابق جو ہے وہ میں نے ریکوائرمنٹس چینج کر دی ہیں اور یہ اب ڈاکومنٹ میں بیک اینڈ ٹیم کو سرکولیٹ کر دوں گی آپ ایک بار اس کو :م:,ہاں
م پھر اب آپ ایسا کریں کہ کمپنی کے کمپلینٹ سیل میں کال کرکے انہیں ساری صورتحال سے آگاہ کریں اور ان سے پراڈکٹس ایکسچینج اور ریپیئرنگ ڈیمانڈ کریں,ہاں
اور ایک ایچ آر کو ایک مجھے اور ایک ڈائریکٹر صاحب کو بھی آپ جو ہے وہ اس کی کاپی وغیرہ کے سبمٹ کروا دیں ٹھیک ہے,ہاں
کلائینٹ سے ڈسکشن کے بعد ایمان 8 کو ایک میٹنگ کنڈکٹ کریں جس میں پھر ہم کلائینٹ کی سجیشنز پر بات کریں گے اور پروبلمز کا سولیوشن فائینڈ کریں گے,ہاں
تو آپ ایسا کریں ان سے م جو ہے کنٹیکٹ کریں اور اگر وہ مانتے ہیں تو سارا کنٹریکٹ ان کو دے دیں پھر وہ یہ ہے کہ آپ کو م جا کے ناں پرسنلی خود لیپ ٹاپ پرچیز نہیں کرنے پڑیں گے,ہاں
اور ڈاکومنٹ مجھے دوبارہ میل کریں اوکے,ہاں
تو احمد آپ نے مجھے یاد کروانا ہے تاکہ میں ان کو اسٹیک ہولڈرز سے انشور کروا لو ں,ہاں
تو آپ لوگ نہ ایسا کرنا کہ ہر بندے کو کراس جیک کرنے کے لیے ڈیٹا دینا ہے,ہاں
صحیح صحیح اچھا :م: میں یا آپ کو ایک اور چیز سجیسٹ کروں گا کہ آپ لوگ جو :م: مائیکرو سافٹ,ہاں
اور حنا آپ اس کے ساتھ جو پوٹینشل رسکس اور ڈیپنڈنسیز  ہیں ان کو ریگولرلی ریویو کرکے پروجیکٹ پلان کو اپ ڈیٹ کریں گیں     ,ہاں
ایمان اپ ایسا کریں کہ ہمارے پروجیکٹ کی ریکوائرمنٹ کے اکارڈنگ سلیکٹڈ الگوریدم میں سے کوئی ایک الگوریدم سلیکٹ کرلیں ,ہاں
ڈیٹا کلیکشن کا سارہ کام ٓپ نے 6 جنورے تک کمپلیٹ کرنا ہے دین پھر اینوٹیشن فیز سٹارٹ کرنا ہے,ہاں
زین ٓپ نا کویسچن بینک کا سٹرکچر ڈیفائن کریں کل تک,ہاں
دو دن تک آپ پروپوزل لکھیں اور مجھے میل کر دینا,ہاں
سمی آپ نے ڈیٹا ویریفیکیشن کا پریپیئر کرنا ہے,ہاں
وہ آپ ان سے شیئر کر دینا,ہاں
اور جو میں نے ایشو بتائیں ہیں انہیں بھی کریکٹ کر لیں,ہاں
ان کا   آپ ایک فارمل ڈاکومنٹ بنا لیں,ہاں
اب آپ نے ایمان لیڈ کرانا ہے ان کو ڈاکومنٹ بنانے کے لیے,ہاں
ان دا اینڈ آپ لوگوں نے ڈیٹا سپلیٹس پر بھی کام کرنا ہے,ہاں
کمپوننٹس کو ڈیٹرمائین کریں اور اس کا سسٹم کے ساتھ انٹریکشن اور ڈیٹا فلو اس مہینے تک بنائیں,ہاں
آپ مجھے بجٹ اپروول لیٹرز میل کر دینا ساتھ میں بجٹ ڈیٹیلز بھی پھر میں خود بھی گو تھرو کر لوں گی انہیں,ہاں
نیچرل میٹنگز کا شیڈیول اسماء بنا لیجیے گا,ہاں
  صارم اور ارم آپ ٹیم کے ساتھ مل کر یوزرز کو انکلوسیو یوزر ایکسپیریئنس پراوائڈ کرنے کے لئے ایکسیسیبلٹی گائیڈ لائنز اور اسٹینڈرڈز بنائیں  ,ہاں
دین پھر آپ نے ریویو کروانا ہے کلائنٹ سے,ہاں
نیکسٹ میٹنگ تک رپورٹ تیار کر لیں پھڑ نیکسٹ میٹنگ کیں ہم ڈسکس کریں گے کہ کون سا ماڈل ہم نے یوز کرنا ہے,ہاں
یوزر لوکیشن کی انفارمیشن کی پروٹیکشن کے لیے ڈیٹا کی پرائویسی اورسیکیورٹی مئیژرز کو کل تک ڈیفائن کریں۔,ہاں
عمر جو بگز ایڈنٹفائی ہوں گے وہ آپ نے ڈیولمپنٹ ٹیم کو اسائن کرنے ہیں ٓٓ,ہاں
پھر کلائنٹ کو سینڈ کرنا,ہاں
کل سے آپ لوگوں نے ڈیلی اٹینڈینس مینٹین کرنی ہے,ہاں
دین ہم اپنی ڈیٹا ڈیزائن کے اوپر فوکس کریں گے,ہاں
جی جی آپ ماورا سے کہنا کہ ایک دو دن تک ان کو لاسٹ انٹرویو کے لیے کال کر دیں,ہاں
اچھا آپ ایسا کریں ڈالنس کے واٹر ڈسپنسرکا آرڈر دے دیں,ہاں
میٹنگ سکیجوئل کر کہ ٓپ نے ایز سون ایز پاسیبل بتانا ہے مجھے,ہاں
شارٹ لسٹ کرنے کے بعد ایپلیکینٹس کو کال کریں اور ٹیسٹ کی رپورٹ وغیرہ بتائیں,ہاں
عمار ٓپ انٹرفیز پر خضرہ ٓپ ماڈل ٹرننگ پر اور اسما۶ ٓپ اے پی ٓئی انٹیگریشن پر کام کریں اور 15 تک رپورٹ کریں,ہاں
اور ڈیٹیلڈ ڈیزائن ایک کاپی نہ مجھے بھی سینڈ کر دینا,ہاں
میٹنگ میں ڈسکس کی گئی ریکویئیرمنٹس کو کلئیر کرنے کے لئے  اسٹیک ہولڈرز سے کل کو میٹنگ رکھ لیں,ہاں
آپ آج ہی کمپنی سے بات کرکے مجھے انفارم کریں,ہاں
 پھر ہمارے پراجیکٹ کے حساب سے پروز اور کونزڈفائن کر دیں,ہاں
لوکیشن  بیسڈ ایڈ کو پروجیکٹ پلان کے اکارڈنگ اسی ہفتے تک اسٹارٹ کریں۔,ہاں
اچھا تو آپ لوگ بیسٹ ایگریکلچرل پریکٹسس کے لیے بیٹر پلیننگ کریے گا,ہاں
ڈیٹا بیس کا سٹرکچر تو بن گیا ہے لیکن یہ ہے کہ فاروق ٓپ اس کو پرسوں تک نارملائزڈ فارم میں لے کر ٓئے تاکہ ہم ٓگے کام سٹارٹ کریں,ہاں
پریسیین لوکیشنز کی ٹارگٹینگ کے لیے  ٹیکنالوجیزکو اگلے ڈیلوریبل تک ڈسکور کریں۔,ہاں
کمپنیز کا وزٹ کریں آج تو خیر آف ٹائم ہو گیا ہے تقریبا تو آپ لوگ ایسا کیجیے گا کل جائیے گا,ہاں
آپ لوگ ان کوالٹی کنٹرولز پر بھی کام کریں,ہاں
اوکے اور میں یہ کہہ رہی تھی کہ نیکسٹ ویک :م: پراببلی میری فالو اپ میٹنگ نہیں ہو سکے گی آپ لوگوں کے ساتھ تو آپ نے ایسا کرنا ہے کہ :م: سٹیک ہولڈر کی میٹنگ کے بعد وہ وائے فریمز پرپیئر کر لینے ہیں,ہاں
اگر آپ لوگوں کا کام پہلے ہو جائے تو دس بجے سے پہلے آجائیے گا,ہاں
بریرہ آپ نے عمار کے ساتھ وی ایف کی میٹنگز بھی شئیر کرنی ہیں,ہاں
ریکوائرمنٹ کا ایک کمپلیٹ ڈاکومنٹ ایک ویک کے اندر اندر ٓپ نے کمپلیٹ کرنا ہے,ہاں
آپ لوگوں نے سمپلی ایک بیسک سا سٹرکچر بنانا ہے اس کے بعد اس پر کام کرنا ہے,ہاں
جو بھی ایررز آئے گے اسے اچھے سے ہینڈل کرنا ہو گا آپ کو,ہاں
اویس آپ نے اس کی رن ٹائم ٹیسٹنگ کرکے دیکھانی ہے,ہاں
جی شیور آپ لوگ ایک ڈیٹیل ڈیزائن ڈاکومنٹ بنا کر نیکسٹ میٹنگ سے پہلے پہلےمجھ سے شیئر کر دیں ,ہاں
سارا اس کے ساتھ ہر ویک آپ مجھے انفارم کریں گی اس کے حوالے سے,ہاں
ٹھیک ہے پھر اس ویک کے اینڈ تک :م: آپ مجھے ناں ڈاکومنٹیشن :م: جو بھی آپ لوگ ڈاکومنٹیشن کر رہے وہ میرے ساتھ شیئر کر دینا,ہاں
تو اب آپ ایسا کیجیئےگا کہ کل آپ ایک ٹینڈر نوٹس تیار کرکے اس پر سائن کروالیجیئے گا,ہاں
اور اس کی ایک کاپی آفس گروپ میں بھی شیئر کر دینا ,ہاں
آپ نے فورن کلائنٹ کے ساتھ شئیر کرنی ہے,ہاں
آپ لوگ یہ کام کمپلیٹ کریں ریکوائرمنٹ ایلیسیٹیشن کا دین نیکسٹ میٹنگ ہم ریکوائرمنٹ ڈاکومنٹیشن پر کریں گے,ہاں
اگر کوئی ایشو ہو یا پھر سمجھ نہ آئے تو وہ پوچھ لینا میرے سے یا مس بریرہ بھی ہیں یا آپ کے گروپ میٹس بھی ہیں ان سے پوچھ,ہاں
جو ڈیٹیلز مسنگ ہیں اس کو کیئرفلی گو تھرو کرو دین ایڈجسٹمنٹ کے بعد ایڈ کر دینا اور مجھ سے ویریفائی کروا لینا,ہاں
باقی جو جو کام اسئن کر دیا گیا ہے اپ سب نے اپنا ٹائم پہ کر لینا ہے اور مجھے بتا دینا,ہاں
حنا آپ ایسا کریں کہ پرسوں تک ٹیسٹ کیسیز بنانے کے لئے ایک پراپر پروسیجر ڈیفائن کریں ,ہاں
عروسہ ٓپ نا کل کلائینٹ سے میٹنگ کریں اور ان کی ڈیٹا بیس کے حوالے سے ریکوائرمنٹ لے لیں,ہاں
ڈاکومنٹشن کے لیے ٹیمپلیٹس کو فولو کیا جائے۔,ہاں
علی آپ کوئز منیجمنٹ ڈیٹا بیس ٹیبلز کے سٹرکچر کو ڈیفائن کرنے کے لیے ڈیٹا بیس آرکیٹیکٹس کے ساتھ ایک میٹنگ آرائیں ,ہاں
اس بات کو اسی سپرنٹ میں اینشور کریں کہ ریکویئیرمنٹس کو پورا کرنے کے لئیے اور ایکشنز کی ضروری ہے۔,ہاں
آپ لوگوں نے اس کام کو پروپرلی دیکھنا ہے,ہاں
اور میرے ساتھ دونوں لسٹ شیئر کر دینا,ہاں
آپ میٹنگ کے بعد وہ ساری اپ ڈیٹس مجھے دیکھا دیجئے گا,ہاں
اچھا بات یہ ہے کہ جو لوگ ڈیٹا کلیکشن پر کام کر رہیں ہیں نہ آپ سائیڈ بائی سائیڈ ان سے اینوٹیشن کا بھی کہیے  ,ہاں
ہر آیت کے لیے کوالیفائیڈ ریکارڈز کے ذریعہ آڈیو کو کل تک امپلیمنٹ کریں۔,ہاں
نجم اور کاشف آپ یہ شیور کریں کہ ہم نے میٹنگ میں کوئی چیز مس تو نہیں کی,ہاں
آپ سب نے امپرومنٹس کے ساتھ آنا ہے اس میں,ہاں
